"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by industry sub-sector, quarterly, unadjusted for seasonality c 1 2"
"Frequency: Quarterly"
"Table: 14-10-0442-01"
"Release date: 2025-12-16"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,
"North American Industry Classification System (NAICS) 3 4","Statistics","Q1 2021","Q2 2021","Q3 2021","Q4 2021"
"Total, all industries 3",,"Number",,,
,"Job vacancies 5","554,790","732,815","913,250","915,875"
,"Payroll employees 4 6","15,057,690","15,319,905","15,863,320","16,309,720"
,,"Percent",,,
,"Job vacancy rate 7","3.6","4.6","5.4","5.3"
,,"Dollars",,,
,"Average offered hourly wage 8","23.65","22.85","22.50","22.95"
"Agriculture, forestry, fishing and hunting  [11]",,"Number",,,
,"Job vacancies 5","11,700","16,070","15,945","13,240"
,"Payroll employees 4 6","203,800","225,490","275,595","251,660"
,,"Percent",,,
,"Job vacancy rate 7","5.4","6.7","5.5","5.0"
,,"Dollars",,,
,"Average offered hourly wage 8","17.90","17.85","18.30","19.50"
"Mining, quarrying, and oil and gas extraction  [21]",,"Number",,,
,"Job vacancies 5","5,090","7,620","8,630","7,585"
,"Payroll employees 4 6","184,945","186,745","192,155","196,480"
,,"Percent",,,
,"Job vacancy rate 7","2.7","3.9","4.3","3.7"
,,"Dollars",,,
,"Average offered hourly wage 8","32.90","32.35","33.55","34.45"
"Utilities  [22]",,"Number",,,
,"Job vacancies 5","1,560","2,210","1,930","2,265"
,"Payroll employees 4 6","121,820","122,220","126,090","126,590"
,,"Percent",,,
,"Job vacancy rate 7","1.3","1.8","1.5","1.8"
,,"Dollars",,,
,"Average offered hourly wage 8","37.40","34.10","38.00","37.90"
"Construction  [23]",,"Number",,,
,"Job vacancies 5","46,370","62,635","75,295","69,040"
,"Payroll employees 4 6","963,185","1,015,770","1,112,555","1,133,545"
,,"Percent",,,
,"Job vacancy rate 7","4.6","5.8","6.3","5.7"
,,"Dollars",,,
,"Average offered hourly wage 8","25.80","25.95","26.75","26.75"
"Manufacturing  [31-33]",,"Number",,,
,"Job vacancies 5","52,195","65,880","81,185","81,435"
,"Payroll employees 4 6","1,468,545","1,491,270","1,545,345","1,535,485"
,,"Percent",,,
,"Job vacancy rate 7","3.4","4.2","5.0","5.0"
,,"Dollars",,,
,"Average offered hourly wage 8","22.00","21.85","21.85","22.40"
"Wholesale trade  [41]",,"Number",,,
,"Job vacancies 5","23,375","31,515","32,275","32,905"
,"Payroll employees 4 6","778,815","783,020","795,925","797,425"
,,"Percent",,,
,"Job vacancy rate 7","2.9","3.9","3.9","4.0"
,,"Dollars",,,
,"Average offered hourly wage 8","23.90","23.65","24.25","24.85"
"Retail trade  [44-45]",,"Number",,,
,"Job vacancies 5","54,835","84,635","103,945","113,730"
,"Payroll employees 4 6","1,885,565","1,910,195","1,971,820","1,997,500"
,,"Percent",,,
,"Job vacancy rate 7","2.8","4.2","5.0","5.4"
,,"Dollars",,,
,"Average offered hourly wage 8","16.90","16.70","16.70","16.75"
"Transportation and warehousing  [48-49]",,"Number",,,
,"Job vacancies 5","27,170","32,915","42,185","44,040"
,"Payroll employees 4 6","768,715","756,640","762,635","776,835"
,,"Percent",,,
,"Job vacancy rate 7","3.4","4.2","5.2","5.4"
,,"Dollars",,,
,"Average offered hourly wage 8","22.40","23.05","23.85","23.35"
"Information and cultural industries  [51]",,"Number",,,
,"Job vacancies 5","11,225","13,360","19,935","18,140"
,"Payroll employees 4 6","342,235","346,330","357,900","367,385"
,,"Percent",,,
,"Job vacancy rate 7","3.2","3.7","5.3","4.7"
,,"Dollars",,,
,"Average offered hourly wage 8","33.00","32.30","29.45","33.45"
"Finance and insurance  [52] 9",,"Number",,,
